YYYYMMDD,Date,Short Positions,Long Positions,Total Positions,Daily PnL,Cumulative PnL,ROR,Market Value,Net Market Value,Sharpe
20110218,2/18/2011,-1500,500,2000,0,192640,0,282300,73215,5.21936
20110222,2/22/2011,-500,500,1000,1680,194320,0.034901,180210,169165,5.2693
20110223,2/23/2011,0,1000,1000,210,194530,0.0194715,184605,193245,5.29623
20110224,2/24/2011,0,2000,2000,0,194530,0,275855,284275,5.28664
20110225,2/25/2011,0,1500,1500,755,195285,0.0093923,198285,203890,5.29572
20110228,2/28/2011,0,1500,1500,0,195285,0,200630,203890,5.28619
20110301,3/1/2011,-500,1500,2000,0,195285,0,278415,123905,5.27672
20110302,3/2/2011,-500,1500,2000,100,195385,0.00939408,279925,124005,5.28581
20110303,3/3/2011,-500,1000,1500,150,195535,0.01396,274620,113260,5.30315
20110304,3/4/2011,-1000,1000,2000,0,195535,0,284670,102480,5.29373
20110307,3/7/2011,0,1000,1000,195,195730,0.0164838,190540,193245,5.31536
20110308,3/8/2011,0,2000,2000,0,195730,0,282540,284950,5.30597
20110309,3/9/2011,0,1500,1500,-3715,192015,-0.0206446,106475,105000,5.24929
20110310,3/10/2011,0,2000,2000,0,192015,0,277445,278335,5.2401
20110311,3/11/2011,0,1500,1500,2660,194675,0.015346,104490,105000,5.25972
20110314,3/14/2011,0,1500,1500,0,194675,0,103960,105000,5.25057
20110315,3/15/2011,0,1500,1500,0,194675,0,102295,105000,5.24146
20110316,3/16/2011,0,1500,1500,-900,193775,-0.0676946,251410,256710,5.04592
20110317,3/17/2011,-500,1500,2000,0,193775,0,266750,244320,5.03729
20110318,3/18/2011,-500,1500,2000,330,194105,0.00199994,265645,244650,5.03264
20110321,3/21/2011,-500,1000,1500,4315,198420,0.0260985,101600,79315,5.06875
20110322,3/22/2011,-1000,1000,2000,0,198420,0,272325,-91285,5.06015
20110323,3/23/2011,-500,1000,1500,1005,199425,0.00589097,102680,79315,5.0629
20110324,3/24/2011,-500,1500,2000,0,199425,0,275600,251800,5.05436
20110325,3/25/2011,-500,1500,2000,0,199425,0,279855,251800,5.04587
20110328,3/28/2011,-500,1500,2000,2735,202160,0.0158565,278780,254535,5.06602
20110329,3/29/2011,-500,1000,1500,-125,202035,-0.0365299,269665,244270,4.97201
20110330,3/30/2011,-500,1000,1500,0,202035,0,268920,244270,4.96376
20110331,3/31/2011,-1000,1000,2000,95,202130,0.0011665,278575,234275,4.9578
20110401,4/1/2011,-500,500,1000,830,202960,0.0301536,185020,162830,4.99887
