Date, Signal 
12/7/2009,-0.22031
12/7/2009,-0.040222
12/7/2009,-0.00537829
12/7/2009,-0.00612889
12/8/2009,0.164355
12/8/2009,0.00551207
12/8/2009,-0.00717299
12/8/2009,-0.00328227
12/9/2009,0.06516
12/9/2009,0.0181796
12/9/2009,0.011444
12/9/2009,0.0075752
12/10/2009,-0.144518
12/10/2009,-0.0205235
12/10/2009,-0.00837056
12/10/2009,-0.0101253
12/11/2009,0.153994
12/11/2009,0.0552048
12/11/2009,0.00334149
12/11/2009,0.0114756
12/14/2009,-0.131383
12/14/2009,-0.0527519
12/14/2009,0.00323325
12/14/2009,-0.0130851
12/15/2009,0.145119
12/15/2009,0.0474399
12/15/2009,0.00575384
12/15/2009,0.025224
12/16/2009,-0.141137
12/16/2009,-0.0367907
12/16/2009,-0.0167128
12/16/2009,-0.03128
12/17/2009,0.0151959
12/17/2009,0.00407795
12/17/2009,-0.00287253
12/17/2009,0.0138389
12/18/2009,-0.00804552
12/18/2009,-0.0219677
12/18/2009,0.0104527
12/18/2009,-0.00455624
12/21/2009,0.0636431
12/21/2009,0.0230289
12/21/2009,0.000222718
12/21/2009,0.00369731
12/22/2009,-0.123943
12/22/2009,0.0091726
12/22/2009,-0.00599867
12/22/2009,0.000611894
12/23/2009,0.0210049
12/23/2009,-0.0501377
12/23/2009,0.00564127
12/23/2009,0.000349298
12/24/2009,0.162409
12/24/2009,0.0653648
12/24/2009,3.92452e-05
12/24/2009,-0.00600797
12/28/2009,-0.146781
12/28/2009,-0.058149
12/28/2009,-0.00773486
12/28/2009,0.00930226
12/29/2009,0.112789
12/29/2009,0.08767
12/29/2009,0.0152684
12/29/2009,0.0110957
12/30/2009,-0.0973078
12/30/2009,-0.0959367
12/30/2009,-0.0179316
12/30/2009,-0.0228733
12/31/2009,0.0159594
12/31/2009,0.0707571
12/31/2009,0.00995236
12/31/2009,0.00827666
1/4/2010,0.0957948
1/4/2010,-0.0193063
1/4/2010,-0.00126163
1/4/2010,0.000676162
1/5/2010,-0.0355171
1/5/2010,0.0187024
1/5/2010,0.00641518
1/5/2010,0.00939431
1/6/2010,-0.0595416
1/6/2010,-0.0686618
1/6/2010,-0.00775965
1/6/2010,-0.0164276
1/7/2010,0.042323
1/7/2010,0.0822083
1/7/2010,-0.0036978
1/7/2010,0.0127459
1/8/2010,0.0669751
1/8/2010,-0.0702355
1/8/2010,0.0138724
1/8/2010,-0.00101824
1/11/2010,-0.124634
1/11/2010,0.0597559
1/11/2010,-0.00777482
1/11/2010,-0.00393557
1/12/2010,0.0130908
1/12/2010,-0.0858686
1/12/2010,-0.0175004
1/12/2010,-0.0148431
1/13/2010,0.201742
1/13/2010,0.100494
1/13/2010,0.0332323
1/13/2010,0.0196794
1/14/2010,-0.374793
1/14/2010,-0.126405
1/14/2010,-0.020685
1/14/2010,-0.0142376
1/15/2010,0.277925
1/15/2010,0.159614
1/15/2010,0.0052438
1/15/2010,0.0169254
1/19/2010,-0.10405
1/19/2010,-0.0870679
1/19/2010,-0.00578285
1/19/2010,-0.00736176
1/20/2010,0.286846
1/20/2010,0.0875792
1/20/2010,0.028957
1/20/2010,0.0231062
1/21/2010,-0.340352
1/21/2010,-0.096875
1/21/2010,-0.0355666
1/21/2010,-0.0301595
1/22/2010,0.0706086
1/22/2010,0.0381872
1/22/2010,0.0211247
1/22/2010,0.00487105
1/25/2010,-0.0745328
1/25/2010,-0.0486268
1/25/2010,-0.0152047
1/25/2010,-0.0036493
1/26/2010,0.190568
1/26/2010,0.0622483
1/26/2010,0.00727503
1/26/2010,0.00533659
1/27/2010,0.0741672
1/27/2010,0.013921
1/27/2010,0.0102189
1/27/2010,0.0215135
1/28/2010,-0.229733
1/28/2010,-0.0867406
1/28/2010,-0.012764
1/28/2010,-0.0271966
1/29/2010,0.0930997
1/29/2010,0.0331581
1/29/2010,-0.00436528
1/29/2010,0.00851755
2/1/2010,-0.17925
2/1/2010,-0.0234027
2/1/2010,0.00267514
2/1/2010,-0.0147557
2/2/2010,0.326749
2/2/2010,0.0945523
2/2/2010,0.0210128
2/2/2010,0.0301607
2/3/2010,-0.269231
2/3/2010,-0.0941308
2/3/2010,-0.0289742
2/3/2010,-0.0258826
2/4/2010,0.140141
2/4/2010,0.0771291
2/4/2010,0.0163216
2/4/2010,0.0162079
2/5/2010,-0.113022
2/5/2010,-0.0800113
2/5/2010,-0.0117836
2/5/2010,-0.0155024
2/8/2010,0.113038
2/8/2010,0.0495783
2/8/2010,0.00827432
2/8/2010,0.00909207
2/9/2010,-0.116713
2/9/2010,-0.0355375
2/9/2010,-0.00669607
2/9/2010,-0.00800173
2/10/2010,0.0618589
2/10/2010,0.0230509
2/10/2010,0.000557967
2/10/2010,0.012841
2/11/2010,-0.0673197
2/11/2010,-0.0233155
2/11/2010,-0.0025928
2/11/2010,-0.014799
2/12/2010,0.0943591
2/12/2010,0.0127482
2/12/2010,0.0100236
2/12/2010,0.00687492
2/16/2010,-0.0431444
2/16/2010,-0.0283758
